"","everwrk","age_p","r_maritl"
"27907","1 Yes",33,"1 Married - spouse in household"
"27908","1 Yes",69,"4 Widowed"
"27909","1 Yes",57,"4 Widowed"
"27910","1 Yes",62,"4 Widowed"
"27911","2 No",21,"7 Never married"
"27912","1 Yes",31,"7 Never married"
"27913","1 Yes",48,"5 Divorced"
"27914","1 Yes",64,"4 Widowed"
"27915","1 Yes",23,"8 Living with partner"
"27916","2 No",58,"4 Widowed"
"27917","1 Yes",27,"7 Never married"
"27918","1 Yes",55,"7 Never married"
"27919","1 Yes",50,"1 Married - spouse in household"
"27920","1 Yes",82,"1 Married - spouse in household"
"27921","2 No",18,"7 Never married"
"27922","1 Yes",76,"4 Widowed"
"27923","1 Yes",79,"1 Married - spouse in household"
"27924","1 Yes",45,"1 Married - spouse in household"
"27925","1 Yes",77,"4 Widowed"
"27926","1 Yes",63,"1 Married - spouse in household"
"27927","1 Yes",32,"1 Married - spouse in household"
"27928","1 Yes",40,"1 Married - spouse in household"
"27929","1 Yes",85,"5 Divorced"
"27930","2 No",25,"7 Never married"
"27931","1 Yes",41,"1 Married - spouse in household"
"27932","1 Yes",47,"1 Married - spouse in household"
"27933","1 Yes",40,"7 Never married"
"27934","1 Yes",29,"1 Married - spouse in household"
"27935","1 Yes",55,"1 Married - spouse in household"
"27936","1 Yes",38,"8 Living with partner"
"27937","2 No",75,"4 Widowed"
"27938","1 Yes",69,"5 Divorced"
"27939","1 Yes",65,"4 Widowed"
"27940","1 Yes",51,"1 Married - spouse in household"
"27941","2 No",44,"1 Married - spouse in household"
"27942","2 No",38,"7 Never married"
"27943","1 Yes",48,"1 Married - spouse in household"
"27944","1 Yes",55,"7 Never married"
"27945","1 Yes",42,"1 Married - spouse in household"
"27946","2 No",58,"1 Married - spouse in household"
"27947","1 Yes",19,"8 Living with partner"
"27948","1 Yes",74,"5 Divorced"
"27949","1 Yes",79,"4 Widowed"
"27950","1 Yes",72,"6 Separated"
"27951","1 Yes",61,"1 Married - spouse in household"
"27952","2 No",54,"7 Never married"
"27953","1 Yes",47,"7 Never married"
"27954","1 Yes",54,"5 Divorced"
"27955","1 Yes",66,"4 Widowed"
"27956","1 Yes",49,"2 Married - spouse not in household"
"27957","1 Yes",27,"1 Married - spouse in household"
"27958","1 Yes",25,"7 Never married"
"27959","1 Yes",25,"7 Never married"
"27960","1 Yes",44,"7 Never married"
"27961","1 Yes",37,"5 Divorced"
"27962","1 Yes",54,"1 Married - spouse in household"
"27963","1 Yes",27,"7 Never married"
"27964","1 Yes",26,"7 Never married"
"27965","1 Yes",27,"8 Living with partner"
"27966","2 No",39,"1 Married - spouse in household"
"27967","1 Yes",51,"1 Married - spouse in household"
"27968","1 Yes",38,"1 Married - spouse in household"
"27969","1 Yes",71,"1 Married - spouse in household"
"27970","1 Yes",64,"5 Divorced"
"27971","1 Yes",54,"7 Never married"
"27972","1 Yes",70,"1 Married - spouse in household"
"27973","1 Yes",72,"1 Married - spouse in household"
"27974","1 Yes",43,"1 Married - spouse in household"
"27975","1 Yes",52,"1 Married - spouse in household"
"27976","1 Yes",29,"1 Married - spouse in household"
"27977","1 Yes",47,"5 Divorced"
"27978","1 Yes",26,"1 Married - spouse in household"
"27979","1 Yes",35,"5 Divorced"
"27980","1 Yes",72,"1 Married - spouse in household"
"27981","2 No",28,"1 Married - spouse in household"
"27982","1 Yes",45,"7 Never married"
"27983","1 Yes",39,"8 Living with partner"
"27984","1 Yes",52,"5 Divorced"
"27985","1 Yes",70,"4 Widowed"
"27986","1 Yes",48,"1 Married - spouse in household"
"27987","1 Yes",73,"4 Widowed"
"27988","1 Yes",62,"7 Never married"
"27989","2 No",41,"1 Married - spouse in household"
"27990","1 Yes",78,"5 Divorced"
"27991","1 Yes",41,"1 Married - spouse in household"
"27992","2 No",59,"1 Married - spouse in household"
"27993","1 Yes",69,"1 Married - spouse in household"
"27994","1 Yes",58,"5 Divorced"
"27995","1 Yes",29,"8 Living with partner"
"27996","1 Yes",70,"1 Married - spouse in household"
"27997","1 Yes",72,"4 Widowed"
"27998","1 Yes",64,"1 Married - spouse in household"
"27999","1 Yes",73,"1 Married - spouse in household"
"28000","1 Yes",67,"1 Married - spouse in household"
"28001","1 Yes",44,"1 Married - spouse in household"
"28002","1 Yes",19,"7 Never married"
"28003","1 Yes",60,"1 Married - spouse in household"
"28004","1 Yes",46,"1 Married - spouse in household"
"28005","1 Yes",48,"1 Married - spouse in household"
"28006","1 Yes",53,"8 Living with partner"
"28007","1 Yes",70,"1 Married - spouse in household"
"28008","1 Yes",50,"5 Divorced"
"28009","1 Yes",21,"7 Never married"
"28010","2 No",23,"7 Never married"
"28011","1 Yes",37,"7 Never married"
"28012","1 Yes",70,"1 Married - spouse in household"
"28013","1 Yes",48,"7 Never married"
"28014","1 Yes",54,"5 Divorced"
"28015","1 Yes",56,"1 Married - spouse in household"
"28016","2 No",30,"8 Living with partner"
"28017","1 Yes",26,"1 Married - spouse in household"
"28018","1 Yes",38,"1 Married - spouse in household"
"28019","1 Yes",28,"7 Never married"
"28020","1 Yes",37,"5 Divorced"
"28021","1 Yes",28,"1 Married - spouse in household"
"28022","1 Yes",64,"1 Married - spouse in household"
"28023","1 Yes",62,"5 Divorced"
"28024","1 Yes",64,"5 Divorced"
"28025","1 Yes",64,"1 Married - spouse in household"
"28026","1 Yes",37,"7 Never married"
"28027","1 Yes",46,"1 Married - spouse in household"
"28028","1 Yes",43,"1 Married - spouse in household"
"28029","1 Yes",23,"1 Married - spouse in household"
"28030","1 Yes",44,"5 Divorced"
"28031","2 No",23,"7 Never married"
"28032","1 Yes",32,"7 Never married"
"28033","1 Yes",48,"1 Married - spouse in household"
"28034","1 Yes",66,"7 Never married"
"28035","1 Yes",38,"8 Living with partner"
"28036","2 No",28,"7 Never married"
"28037","2 No",26,"7 Never married"
"28038","2 No",25,"7 Never married"
"28039","1 Yes",38,"7 Never married"
"28040","1 Yes",63,"5 Divorced"
"28041","1 Yes",26,"8 Living with partner"
"28042","1 Yes",69,"1 Married - spouse in household"
"28043","1 Yes",75,"2 Married - spouse not in household"
"28044","1 Yes",75,"4 Widowed"
"28045","1 Yes",46,"1 Married - spouse in household"
"28046","1 Yes",31,"1 Married - spouse in household"
"28047","2 No",33,"5 Divorced"
"28048","1 Yes",51,"1 Married - spouse in household"
"28049","2 No",22,"7 Never married"
"28050","1 Yes",65,"4 Widowed"
"28051","1 Yes",27,"7 Never married"
"28052","1 Yes",30,"1 Married - spouse in household"
"28053","1 Yes",31,"1 Married - spouse in household"
"28054","2 No",46,"1 Married - spouse in household"
"28055","1 Yes",33,"7 Never married"
"28056","1 Yes",38,"1 Married - spouse in household"
"28057","1 Yes",85,"4 Widowed"
"28058","1 Yes",62,"5 Divorced"
"28059","1 Yes",20,"8 Living with partner"
"28060","1 Yes",28,"7 Never married"
"28061","1 Yes",39,"1 Married - spouse in household"
"28062","1 Yes",34,"2 Married - spouse not in household"
"28063","1 Yes",46,"5 Divorced"
"28064","1 Yes",21,"7 Never married"
"28065","2 No",29,"8 Living with partner"
"28066","1 Yes",43,"1 Married - spouse in household"
"28067","1 Yes",49,"1 Married - spouse in household"
"28068","1 Yes",58,"1 Married - spouse in household"
"28069","1 Yes",24,"7 Never married"
"28070","1 Yes",28,"7 Never married"
"28071","1 Yes",68,"1 Married - spouse in household"
"28072","1 Yes",66,"1 Married - spouse in household"
"28073","1 Yes",85,"7 Never married"
"28074","1 Yes",27,"7 Never married"
"28075","1 Yes",40,"1 Married - spouse in household"
"28076","1 Yes",19,"7 Never married"
"28077","1 Yes",63,"5 Divorced"
"28078","1 Yes",50,"1 Married - spouse in household"
"28079","1 Yes",79,"4 Widowed"
"28080","2 No",18,"7 Never married"
"28081","1 Yes",73,"1 Married - spouse in household"
"28082","1 Yes",53,"1 Married - spouse in household"
"28083","1 Yes",47,"1 Married - spouse in household"
"28084","2 No",36,"1 Married - spouse in household"
"28085","1 Yes",43,"1 Married - spouse in household"
"28086","1 Yes",36,"1 Married - spouse in household"
"28087","1 Yes",46,"5 Divorced"
"28088","1 Yes",30,"5 Divorced"
"28089","1 Yes",35,"1 Married - spouse in household"
"28090","1 Yes",30,"6 Separated"
"28091","1 Yes",33,"1 Married - spouse in household"
"28092","1 Yes",23,"7 Never married"
"28093","2 No",52,"1 Married - spouse in household"
"28094","1 Yes",33,"1 Married - spouse in household"
"28095","2 No",53,"7 Never married"
"28096","1 Yes",75,"5 Divorced"
"28097","1 Yes",63,"7 Never married"
"28098","1 Yes",42,"1 Married - spouse in household"
"28099","2 No",45,"1 Married - spouse in household"
"28100","1 Yes",31,"1 Married - spouse in household"
"28101","2 No",52,"7 Never married"
"28102","2 No",19,"7 Never married"
"28103","1 Yes",59,"5 Divorced"
"28104","1 Yes",54,"7 Never married"
"28105","1 Yes",64,"1 Married - spouse in household"
"28106","1 Yes",51,"1 Married - spouse in household"
"28107","1 Yes",19,"7 Never married"
"28108","2 No",18,"7 Never married"
"28109","1 Yes",56,"1 Married - spouse in household"
"28110","1 Yes",34,"1 Married - spouse in household"
"28111","1 Yes",43,"7 Never married"
"28112","1 Yes",61,"1 Married - spouse in household"
"28113","1 Yes",44,"1 Married - spouse in household"
"28114","1 Yes",55,"1 Married - spouse in household"
"28115","1 Yes",77,"4 Widowed"
"28116","1 Yes",85,"1 Married - spouse in household"
"28117","1 Yes",68,"1 Married - spouse in household"
"28118","1 Yes",63,"5 Divorced"
"28119","1 Yes",61,"1 Married - spouse in household"
"28120","1 Yes",51,"1 Married - spouse in household"
"28121","1 Yes",65,"5 Divorced"
"28122","1 Yes",26,"7 Never married"
"28123","2 No",39,"6 Separated"
"28124","1 Yes",41,"7 Never married"
"28125","1 Yes",37,"1 Married - spouse in household"
"28126","1 Yes",42,"1 Married - spouse in household"
"28127","1 Yes",75,"1 Married - spouse in household"
"28128","1 Yes",64,"4 Widowed"
"28129","1 Yes",35,"5 Divorced"
"28130","1 Yes",54,"1 Married - spouse in household"
"28131","1 Yes",34,"7 Never married"
"28132","2 No",35,"7 Never married"
"28133","1 Yes",19,"7 Never married"
"28134","1 Yes",64,"1 Married - spouse in household"
"28135","1 Yes",52,"1 Married - spouse in household"
"28136","1 Yes",60,"1 Married - spouse in household"
"28137","1 Yes",25,"7 Never married"
"28138","1 Yes",50,"1 Married - spouse in household"
"28139","1 Yes",30,"8 Living with partner"
"28140","2 No",84,"4 Widowed"
"28141","1 Yes",43,"1 Married - spouse in household"
"28142","1 Yes",77,"5 Divorced"
"28143","1 Yes",26,"7 Never married"
"28144","1 Yes",74,"4 Widowed"
"28145","1 Yes",56,"7 Never married"
"28146","2 No",46,"1 Married - spouse in household"
"28147","1 Yes",52,"1 Married - spouse in household"
"28148","1 Yes",66,"7 Never married"
"28149","2 No",62,"1 Married - spouse in household"
"28150","1 Yes",36,"7 Never married"
"28151","1 Yes",76,"4 Widowed"
"28152","1 Yes",63,"1 Married - spouse in household"
"28153","1 Yes",62,"1 Married - spouse in household"
"28154","1 Yes",57,"5 Divorced"
"28155","1 Yes",41,"8 Living with partner"
"28156","1 Yes",49,"6 Separated"
"28157","1 Yes",63,"1 Married - spouse in household"
"28158","2 No",28,"1 Married - spouse in household"
"28159","1 Yes",81,"4 Widowed"
"28160","1 Yes",36,"7 Never married"
"28161","1 Yes",60,"5 Divorced"
"28162","2 No",28,"7 Never married"
"28163","2 No",20,"7 Never married"
"28164","1 Yes",37,"7 Never married"
"28165","1 Yes",22,"7 Never married"
"28166","1 Yes",58,"1 Married - spouse in household"
"28167","1 Yes",47,"1 Married - spouse in household"
"28168","2 No",19,"7 Never married"
"28169","1 Yes",59,"4 Widowed"
"28170","1 Yes",65,"1 Married - spouse in household"
"28171","1 Yes",56,"1 Married - spouse in household"
"28172","1 Yes",57,"4 Widowed"
"28173","2 No",20,"8 Living with partner"
"28174","1 Yes",63,"2 Married - spouse not in household"
"28175","1 Yes",56,"5 Divorced"
"28176","1 Yes",66,"8 Living with partner"
"28177","1 Yes",42,"1 Married - spouse in household"
"28178","1 Yes",24,"1 Married - spouse in household"
"28179","1 Yes",68,"5 Divorced"
"28180","1 Yes",26,"1 Married - spouse in household"
"28181","1 Yes",20,"7 Never married"
"28182","1 Yes",27,"7 Never married"
"28183","1 Yes",27,"8 Living with partner"
"28184","1 Yes",78,"4 Widowed"
"28185","1 Yes",70,"5 Divorced"
"28186","1 Yes",44,"1 Married - spouse in household"
"28187","1 Yes",64,"5 Divorced"
"28188","1 Yes",51,"5 Divorced"
"28189","2 No",22,"1 Married - spouse in household"
"28190","1 Yes",37,"1 Married - spouse in household"
"28191","1 Yes",26,"1 Married - spouse in household"
"28192","1 Yes",34,"1 Married - spouse in household"
"28193","1 Yes",64,"5 Divorced"
"28194","1 Yes",48,"1 Married - spouse in household"
"28195","2 No",44,"1 Married - spouse in household"
"28196","2 No",36,"1 Married - spouse in household"
"28197","1 Yes",20,"7 Never married"
"28198","1 Yes",23,"7 Never married"
"28199","1 Yes",52,"6 Separated"
"28200","1 Yes",45,"1 Married - spouse in household"
"28201","1 Yes",51,"1 Married - spouse in household"
"28202","2 No",21,"7 Never married"
"28203","1 Yes",21,"7 Never married"
"28204","2 No",56,"1 Married - spouse in household"
"28205","1 Yes",72,"1 Married - spouse in household"
"28206","1 Yes",72,"4 Widowed"
"28207","1 Yes",60,"1 Married - spouse in household"
"28208","1 Yes",22,"7 Never married"
"28209","1 Yes",44,"7 Never married"
"28210","1 Yes",37,"1 Married - spouse in household"
"28211","2 No",35,"7 Never married"
"28212","1 Yes",51,"5 Divorced"
"28213","1 Yes",42,"5 Divorced"
"28214","1 Yes",22,"7 Never married"
"28215","1 Yes",71,"4 Widowed"
"28216","2 No",33,"7 Never married"
"28217","1 Yes",41,"1 Married - spouse in household"
"28218","1 Yes",63,"5 Divorced"
"28219","1 Yes",46,"5 Divorced"
"28220","1 Yes",24,"7 Never married"
"28221","1 Yes",53,"5 Divorced"
"28222","1 Yes",58,"5 Divorced"
"28223","2 No",67,"4 Widowed"
"28224","1 Yes",26,"7 Never married"
"28225","1 Yes",66,"4 Widowed"
"28226","1 Yes",75,"1 Married - spouse in household"
"28227","2 No",42,"1 Married - spouse in household"
"28228","1 Yes",51,"5 Divorced"
"28229","1 Yes",35,"1 Married - spouse in household"
"28230","1 Yes",52,"1 Married - spouse in household"
"28231","1 Yes",51,"1 Married - spouse in household"
"28232","1 Yes",71,"1 Married - spouse in household"
"28233","1 Yes",39,"6 Separated"
"28234","1 Yes",67,"1 Married - spouse in household"
"28235","1 Yes",70,"7 Never married"
"28236","1 Yes",61,"1 Married - spouse in household"
"28237","1 Yes",57,"1 Married - spouse in household"
"28238","2 No",64,"4 Widowed"
"28239","1 Yes",62,"1 Married - spouse in household"
"28240","1 Yes",23,"8 Living with partner"
"28241","1 Yes",53,"5 Divorced"
"28242","1 Yes",84,"1 Married - spouse in household"
"28243","1 Yes",26,"6 Separated"
"28244","1 Yes",37,"2 Married - spouse not in household"
"28245","2 No",62,"1 Married - spouse in household"
"28246","1 Yes",64,"1 Married - spouse in household"
"28247","1 Yes",56,"1 Married - spouse in household"
"28248","1 Yes",85,"4 Widowed"
"28249","2 No",40,"2 Married - spouse not in household"
"28250","1 Yes",70,"1 Married - spouse in household"
"28251","1 Yes",19,"7 Never married"
"28252","1 Yes",63,"1 Married - spouse in household"
"28253","1 Yes",44,"1 Married - spouse in household"
"28254","1 Yes",47,"1 Married - spouse in household"
"28255","1 Yes",34,"1 Married - spouse in household"
"28256","1 Yes",48,"1 Married - spouse in household"
"28257","1 Yes",46,"5 Divorced"
"28258","2 No",18,"2 Married - spouse not in household"
"28259","1 Yes",83,"4 Widowed"
"28260","1 Yes",28,"7 Never married"
"28261","1 Yes",46,"7 Never married"
"28262","1 Yes",22,"1 Married - spouse in household"
"28263","1 Yes",26,"7 Never married"
"28264","2 No",22,"7 Never married"
"28265","1 Yes",28,"7 Never married"
"28266","1 Yes",29,"1 Married - spouse in household"
"28267","1 Yes",37,"1 Married - spouse in household"
"28268","1 Yes",85,"1 Married - spouse in household"
"28269","1 Yes",73,"1 Married - spouse in household"
"28270","1 Yes",69,"1 Married - spouse in household"
"28271","1 Yes",52,"2 Married - spouse not in household"
"28272","1 Yes",28,"7 Never married"
"28273","1 Yes",61,"4 Widowed"
"28274","1 Yes",40,"6 Separated"
"28275","1 Yes",22,"7 Never married"
"28276","2 No",27,"1 Married - spouse in household"
"28277","1 Yes",47,"1 Married - spouse in household"
"28278","1 Yes",57,"6 Separated"
"28279","1 Yes",74,"4 Widowed"
"28280","1 Yes",28,"1 Married - spouse in household"
"28281","1 Yes",54,"7 Never married"
"28282","1 Yes",68,"1 Married - spouse in household"
"28283","1 Yes",24,"8 Living with partner"
"28284","1 Yes",20,"7 Never married"
"28285","1 Yes",58,"1 Married - spouse in household"
"28286","1 Yes",73,"4 Widowed"
"28287","1 Yes",26,"7 Never married"
"28288","1 Yes",39,"1 Married - spouse in household"
"28289","1 Yes",60,"1 Married - spouse in household"
"28290","1 Yes",61,"7 Never married"
"28291","1 Yes",56,"4 Widowed"
"28292","1 Yes",27,"6 Separated"
"28293","1 Yes",47,"1 Married - spouse in household"
"28294","1 Yes",26,"8 Living with partner"
"28295","1 Yes",54,"7 Never married"
"28296","1 Yes",40,"1 Married - spouse in household"
"28297","1 Yes",45,"7 Never married"
"28298","1 Yes",62,"5 Divorced"
"28299","1 Yes",29,"1 Married - spouse in household"
"28300","1 Yes",51,"7 Never married"
"28301","1 Yes",59,"5 Divorced"
"28302","1 Yes",56,"1 Married - spouse in household"
"28303","1 Yes",26,"7 Never married"
"28304","1 Yes",66,"7 Never married"
"28305","1 Yes",45,"1 Married - spouse in household"
"28306","1 Yes",68,"4 Widowed"
"28307","1 Yes",32,"7 Never married"
"28308","1 Yes",68,"1 Married - spouse in household"
"28309","1 Yes",63,"5 Divorced"
"28310","2 No",28,"1 Married - spouse in household"
"28311","1 Yes",55,"2 Married - spouse not in household"
"28312","1 Yes",35,"7 Never married"
"28313","1 Yes",51,"1 Married - spouse in household"
"28314","2 No",67,"2 Married - spouse not in household"
"28315","1 Yes",24,"8 Living with partner"
"28316","1 Yes",48,"1 Married - spouse in household"
"28317","1 Yes",20,"7 Never married"
"28318","1 Yes",26,"7 Never married"
"28319","1 Yes",55,"8 Living with partner"
"28320","1 Yes",48,"5 Divorced"
"28321","1 Yes",62,"6 Separated"
"28322","2 No",29,"7 Never married"
"28323","1 Yes",32,"1 Married - spouse in household"
"28324","1 Yes",61,"1 Married - spouse in household"
"28325","2 No",26,"7 Never married"
"28326","1 Yes",36,"2 Married - spouse not in household"
"28327","1 Yes",56,"1 Married - spouse in household"
"28328","1 Yes",28,"7 Never married"
"28329","1 Yes",24,"7 Never married"
"28330","1 Yes",74,"1 Married - spouse in household"
"28331","1 Yes",58,"5 Divorced"
"28332","1 Yes",85,"5 Divorced"
"28333","1 Yes",35,"7 Never married"
"28334","2 No",46,"4 Widowed"
"28335","1 Yes",61,"7 Never married"
"28336","1 Yes",62,"5 Divorced"
"28337","1 Yes",56,"5 Divorced"
"28338","1 Yes",64,"1 Married - spouse in household"
"28339","1 Yes",65,"8 Living with partner"
"28340","2 No",51,"1 Married - spouse in household"
"28341","1 Yes",20,"8 Living with partner"
"28342","1 Yes",61,"8 Living with partner"
"28343","1 Yes",51,"1 Married - spouse in household"
"28344","1 Yes",50,"1 Married - spouse in household"
"28345","1 Yes",56,"1 Married - spouse in household"
"28346","1 Yes",70,"4 Widowed"
"28347","1 Yes",74,"1 Married - spouse in household"
"28348","1 Yes",43,"8 Living with partner"
"28349","1 Yes",55,"1 Married - spouse in household"
"28350","1 Yes",40,"1 Married - spouse in household"
"28351","1 Yes",53,"1 Married - spouse in household"
"28352","1 Yes",51,"7 Never married"
"28353","1 Yes",54,"5 Divorced"
"28354","1 Yes",65,"5 Divorced"
"28355","1 Yes",63,"5 Divorced"
"28356","1 Yes",61,"8 Living with partner"
"28357","1 Yes",59,"7 Never married"
"28358","1 Yes",26,"7 Never married"
"28359","2 No",39,"1 Married - spouse in household"
"28360","1 Yes",47,"5 Divorced"
"28361","1 Yes",52,"1 Married - spouse in household"
"28362","1 Yes",48,"1 Married - spouse in household"
"28363","1 Yes",53,"5 Divorced"
"28364","1 Yes",85,"4 Widowed"
"28365","1 Yes",64,"1 Married - spouse in household"
"28366","1 Yes",24,"7 Never married"
"28367","1 Yes",28,"6 Separated"
"28368","1 Yes",34,"7 Never married"
"28369","1 Yes",32,"8 Living with partner"
"28370","1 Yes",53,"1 Married - spouse in household"
"28371","1 Yes",50,"6 Separated"
"28372","1 Yes",85,"4 Widowed"
"28373","1 Yes",85,"1 Married - spouse in household"
"28374","1 Yes",63,"7 Never married"
"28375","1 Yes",46,"1 Married - spouse in household"
"28376","1 Yes",83,"1 Married - spouse in household"
"28377","1 Yes",54,"5 Divorced"
"28378","1 Yes",60,"4 Widowed"
"28379","1 Yes",36,"8 Living with partner"
"28380","1 Yes",62,"4 Widowed"
"28381","2 No",75,"4 Widowed"
"28382","2 No",20,"7 Never married"
"28383","1 Yes",65,"1 Married - spouse in household"
"28384","1 Yes",84,"1 Married - spouse in household"
"28385","1 Yes",40,"1 Married - spouse in household"
"28386","1 Yes",62,"1 Married - spouse in household"
"28387","1 Yes",77,"1 Married - spouse in household"
"28388","2 No",20,"7 Never married"
"28389","1 Yes",51,"1 Married - spouse in household"
"28390","1 Yes",29,"1 Married - spouse in household"
"28391","1 Yes",42,"6 Separated"
"28392","1 Yes",76,"4 Widowed"
"28393","1 Yes",35,"7 Never married"
"28394","1 Yes",44,"1 Married - spouse in household"
"28395","1 Yes",63,"1 Married - spouse in household"
"28396","2 No",36,"1 Married - spouse in household"
"28397","1 Yes",85,"4 Widowed"
"28398","1 Yes",59,"1 Married - spouse in household"
"28399","1 Yes",36,"1 Married - spouse in household"
"28400","1 Yes",27,"7 Never married"
"28401","1 Yes",26,"7 Never married"
"28402","1 Yes",74,"5 Divorced"
"28403","2 No",27,"7 Never married"
"28404","2 No",26,"7 Never married"
"28405","1 Yes",44,"1 Married - spouse in household"
"28406","1 Yes",47,"7 Never married"
"28407","1 Yes",41,"1 Married - spouse in household"
"28408","1 Yes",42,"5 Divorced"
"28409","1 Yes",72,"1 Married - spouse in household"
"28410","1 Yes",33,"7 Never married"
"28411","1 Yes",50,"7 Never married"
"28412","1 Yes",25,"1 Married - spouse in household"
"28413","1 Yes",58,"1 Married - spouse in household"
"28414","1 Yes",67,"5 Divorced"
"28415","1 Yes",27,"1 Married - spouse in household"
"28416","1 Yes",42,"1 Married - spouse in household"
"28417","1 Yes",71,"1 Married - spouse in household"
"28418","1 Yes",75,"1 Married - spouse in household"
"28419","1 Yes",36,"8 Living with partner"
"28420","1 Yes",65,"4 Widowed"
"28421","1 Yes",64,"5 Divorced"
"28422","1 Yes",53,"8 Living with partner"
"28423","1 Yes",79,"2 Married - spouse not in household"
"28424","1 Yes",29,"2 Married - spouse not in household"
"28425","7 Refused",57,"1 Married - spouse in household"
"28426","1 Yes",85,"4 Widowed"
"28427","1 Yes",26,"7 Never married"
"28428","1 Yes",78,"4 Widowed"
"28429","1 Yes",27,"5 Divorced"
"28430","2 No",34,"7 Never married"
"28431","1 Yes",20,"7 Never married"
"28432","2 No",19,"7 Never married"
"28433","1 Yes",40,"8 Living with partner"
"28434","2 No",62,"1 Married - spouse in household"
"28435","1 Yes",64,"1 Married - spouse in household"
"28436","2 No",22,"7 Never married"
"28437","1 Yes",68,"1 Married - spouse in household"
"28438","2 No",30,"1 Married - spouse in household"
"28439","1 Yes",72,"5 Divorced"
"28440","1 Yes",38,"5 Divorced"
"28441","1 Yes",32,"1 Married - spouse in household"
"28442","1 Yes",48,"5 Divorced"
"28443","1 Yes",38,"2 Married - spouse not in household"
"28444","1 Yes",32,"1 Married - spouse in household"
"28445","2 No",43,"7 Never married"
"28446","1 Yes",44,"2 Married - spouse not in household"
"28447","1 Yes",27,"1 Married - spouse in household"
"28448","1 Yes",33,"1 Married - spouse in household"
"28449","1 Yes",80,"1 Married - spouse in household"
"28450","1 Yes",68,"1 Married - spouse in household"
"28451","1 Yes",20,"7 Never married"
"28452","2 No",46,"1 Married - spouse in household"
"28453","1 Yes",33,"1 Married - spouse in household"
"28454","1 Yes",23,"8 Living with partner"
"28455","1 Yes",23,"7 Never married"
"28456","1 Yes",37,"1 Married - spouse in household"
"28457","1 Yes",36,"5 Divorced"
"28458","1 Yes",61,"5 Divorced"
"28459","2 No",46,"7 Never married"
"28460","1 Yes",85,"4 Widowed"
"28461","1 Yes",28,"5 Divorced"
"28462","1 Yes",58,"7 Never married"
"28463","1 Yes",47,"1 Married - spouse in household"
"28464","2 No",50,"1 Married - spouse in household"
"28465","1 Yes",85,"4 Widowed"
"28466","1 Yes",30,"7 Never married"
"28467","1 Yes",83,"4 Widowed"
"28468","1 Yes",52,"1 Married - spouse in household"
"28469","1 Yes",23,"7 Never married"
"28470","2 No",43,"1 Married - spouse in household"
"28471","1 Yes",65,"5 Divorced"
"28472","1 Yes",79,"4 Widowed"
"28473","1 Yes",25,"7 Never married"
"28474","2 No",56,"1 Married - spouse in household"
"28475","2 No",44,"1 Married - spouse in household"
"28476","1 Yes",37,"7 Never married"
"28477","1 Yes",37,"1 Married - spouse in household"
"28478","1 Yes",48,"1 Married - spouse in household"
"28479","2 No",76,"4 Widowed"
"28480","1 Yes",42,"1 Married - spouse in household"
"28481","1 Yes",73,"6 Separated"
"28482","1 Yes",73,"7 Never married"
"28483","1 Yes",33,"1 Married - spouse in household"
"28484","1 Yes",42,"1 Married - spouse in household"
"28485","1 Yes",28,"1 Married - spouse in household"
"28486","1 Yes",56,"1 Married - spouse in household"
"28487","1 Yes",19,"7 Never married"
"28488","1 Yes",20,"7 Never married"
"28489","1 Yes",20,"7 Never married"
"28490","1 Yes",19,"7 Never married"
"28491","1 Yes",20,"7 Never married"
"28492","1 Yes",19,"7 Never married"
"28493","1 Yes",85,"1 Married - spouse in household"
"28494","2 No",44,"7 Never married"
"28495","1 Yes",68,"5 Divorced"
"28496","1 Yes",30,"1 Married - spouse in household"
"28497","1 Yes",30,"7 Never married"
"28498","1 Yes",85,"4 Widowed"
"28499","1 Yes",70,"1 Married - spouse in household"
"28500","1 Yes",55,"1 Married - spouse in household"
"28501","2 No",28,"1 Married - spouse in household"
"28502","1 Yes",73,"5 Divorced"
"28503","1 Yes",73,"4 Widowed"
"28504","1 Yes",75,"4 Widowed"
"28505","2 No",36,"1 Married - spouse in household"
"28506","1 Yes",37,"1 Married - spouse in household"
"28507","1 Yes",81,"1 Married - spouse in household"
"28508","2 No",19,"7 Never married"
"28509","1 Yes",82,"5 Divorced"
"28510","1 Yes",65,"1 Married - spouse in household"
"28511","2 No",40,"1 Married - spouse in household"
"28512","1 Yes",56,"1 Married - spouse in household"
"28513","1 Yes",39,"8 Living with partner"
"28514","1 Yes",68,"4 Widowed"
"28515","1 Yes",81,"4 Widowed"
"28516","1 Yes",42,"1 Married - spouse in household"
"28517","1 Yes",39,"7 Never married"
"28518","1 Yes",51,"7 Never married"
"28519","1 Yes",85,"4 Widowed"
"28520","1 Yes",53,"2 Married - spouse not in household"
"28521","1 Yes",32,"1 Married - spouse in household"
"28522","1 Yes",53,"5 Divorced"
"28523","1 Yes",26,"7 Never married"
"28524","1 Yes",29,"8 Living with partner"
"28525","1 Yes",49,"5 Divorced"
"28526","1 Yes",52,"5 Divorced"
"28527","1 Yes",34,"5 Divorced"
"28528","1 Yes",22,"7 Never married"
"28529","2 No",59,"7 Never married"
"28530","1 Yes",83,"1 Married - spouse in household"
"28531","1 Yes",44,"6 Separated"
"28532","1 Yes",64,"7 Never married"
"28533","1 Yes",34,"5 Divorced"
